0,   2, 6501 <<<<<--- 
0,   2, 6501
0,   2, 6501
0,   2, 6501
0,   2, 6501
0,   2, 6501
0,   2, 6501
0,   2, 6501
0,   3701, 1751
0,   3701, 1751
0,   3701, 1751
0,   3701, 1752
0,   3701, 1752
0,   3701, 1751
0,   3701, 1751
0,   3701, 1751
0,   3701, 1751
0,   3701, 1751
0,   3701, 1751
0,   3702, 1752
1,   3701, 1752
1,   3701, 1752
1,   3701, 1751
1,   3701, 1752
1,   3701, 1752
1,   3702, 1752
1,   3701, 1751
1,   3701, 1752
1,   3702, 1752
1,   3701, 1752
1,   3701, 1752
1,   3701, 1752
1,   3701, 1752
1,   3702, 1752
1,   3701, 1751
1,   3702, 1751
1,   3701, 1752
1,   3701, 1751
1,   3701, 1752
2,   3701, 1751
2,   3701, 1751
2,   3701, 1752
2,   3701, 1751
2,   3701, 1751
2,   3701, 1751
2,   3701, 1751
2,   3701, 1751
2,   3701, 1752
2,   3701, 1751
2,   3701, 1751
2,   3701, 1752
2,   3701, 1752
2,   3701, 1752
2,   3702, 1751
2,   3701, 1751
2,   3702, 1751
2,   3701, 1752
2,   3702, 1751
2,   3701, 1752
3,   3701, 1752
3,   3701, 1752
3,   3699, 1753
3,   3699, 1752
3,   3683, 1739
3,   3632, 1691
3,   3549, 1614
3,   3420, 1474
3,   3249, 1302
3,   3031, 1081
3,   2798, 839
3,   2525, 559
3,   2195, 209
3,   1809, 3703
3,   1388, 3320
3,   928, 2875
3,   452, 2414
3,   2590, 1861
4,   3184, 1245
4,   2610, 649
4,   1905, 564
4,   1198, 3120
4,   472, 2434
4,   3592, 1660
4,   2812, 863
4,   1854, 1674
4,   1030, 2955
4,   130, 2105
4,   3100, 1156
4,   2203, 228
4,   1197, 3122
4,   165, 2143
4,   2989, 1051
4,   1878, 802
4,   668, 2624
4,   3295, 1360
4,   2071, 98
5,   771, 2718
5,   3312, 1371
5,   2032, 49
5,   715, 2665
5,   3248, 1309
5,   1961, 38
5,   623, 2583
5,   3150, 1210
5,   1647, 3577
5,   298, 2277
5,   2859, 908
5,   1521, 3454
5,   162, 2143
5,   2736, 777
5,   1386, 3319
5,   35, 2009
5,   2608, 646
5,   1244, 3179
5,   348, 1866
5,   2502, 531
6,   1192, 3122
6,   614, 1869
6,   2534, 563
6,   1238, 3176
6,   51, 1937
6,   2616, 653
6,   1339, 3275
6,   3705, 1788
6,   2471, 506
6,   1190, 3122
6,   184, 1905
6,   2624, 658
6,   1414, 3350
6,   235, 2212
6,   2947, 996
6,   1790, 3701
6,   1262, 3216
6,   1260, 3215
7,   1258, 3216
7,   1258, 3216
7,   1258, 3215
7,   1259, 3216
7,   1259, 3217
7,   1259, 3216
7,   1258, 3216
